Area,CalendarYear,SpeciesGroup,NumberCaught Total
Rainbow Beach,2022,Turtle,29
Rainbow Beach,2023,Shark,33
Rainbow Beach,2023,Turtle,15
Rainbow Beach,2024,Shark,19
Rainbow Beach,2024,Turtle,2
Sunshine Coast North,2012,Shark,29
Sunshine Coast North,2012,Turtle,3
Sunshine Coast North,2013,Shark,28
Sunshine Coast North,2014,Shark,33
Sunshine Coast North,2014,Turtle,1
Sunshine Coast North,2015,Shark,48
Sunshine Coast North,2015,Turtle,3
Sunshine Coast North,2016,Shark,39
Sunshine Coast North,2017,Shark,39
Sunshine Coast North,2017,Turtle,4
Sunshine Coast North,2018,Shark,73
Sunshine Coast North,2019,Shark,56
Sunshine Coast North,2019,Turtle,5
Sunshine Coast North,2020,Shark,58
Sunshine Coast North,2020,Turtle,3
Sunshine Coast North,2021,Shark,63
Sunshine Coast North,2021,Turtle,4
Sunshine Coast North,2022,Shark,60
Sunshine Coast North,2022,Turtle,5
Sunshine Coast North,2023,Shark,89
Sunshine Coast North,2023,Turtle,5
Sunshine Coast North,2024,Shark,49
Sunshine Coast North,2024,Turtle,2
Sunshine Coast South,2017,Shark,7
Sunshine Coast South,2018,Shark,18
Sunshine Coast South,2019,Shark,13
Sunshine Coast South,2019,Turtle,1
Sunshine Coast South,2020,Shark,9
Sunshine Coast South,2020,Turtle,1
Sunshine Coast South,2021,Shark,25
Sunshine Coast South,2022,Shark,25
Sunshine Coast South,2022,Turtle,4
Sunshine Coast South,2023,Shark,34
Sunshine Coast South,2024,Shark,12
Sunshine Coast South & Bribie Island,2012,Shark,21
Sunshine Coast South & Bribie Island,2012,Turtle,2
Sunshine Coast South & Bribie Island,2013,Shark,15
Sunshine Coast South & Bribie Island,2013,Turtle,2
Sunshine Coast South & Bribie Island,2014,Shark,10
Sunshine Coast South & Bribie Island,2014,Turtle,1
Sunshine Coast South & Bribie Island,2015,Shark,22
Sunshine Coast South & Bribie Island,2015,Turtle,2
Sunshine Coast South & Bribie Island,2016,Shark,12
Sunshine Coast South & Bribie Island,2016,Turtle,6
Sunshine Coast South & Bribie Island,2017,Shark,8
Sunshine Coast South & Bribie Island,2017,Turtle,2
Townsville,2012,Shark,158
Townsville,2013,Shark,107
Townsville,2014,Shark,101
Townsville,2014,Turtle,1
Townsville,2015,Shark,139
Townsville,2015,Turtle,2
Townsville,2016,Shark,112
Townsville,2016,Turtle,1
Townsville,2017,Shark,107
Townsville,2017,Turtle,1
Townsville,2018,Shark,113
Townsville,2019,Shark,82
Townsville,2019,Turtle,2
Townsville,2020,Shark,130
Townsville,2021,Shark,150
Townsville,2021,Turtle,3
Townsville,2022,Shark,127
Townsville,2023,Shark,179
Townsville,2024,Shark,63
